leptonica 1.87.0-1.1
less 1:704-1.1
lf 42-1.1
lib32-alsa-lib 1.2.16.1-1
lib32-alsa-plugins 1.2.12-1
lib32-at-spi2-core 2.60.6-1
lib32-brotli 1.2.0-2
lib32-bzip2 1.0.8-4
lib32-cairo 1.18.4-1
lib32-colord 1.4.8-1
lib32-curl 8.21.0-1
lib32-dbus 1.16.2-1
lib32-e2fsprogs 1.47.4-1
lib32-expat 2.8.2-1
lib32-fontconfig 2:2.18.2-1
lib32-freetype2 2.14.3-1
lib32-fribidi 1.0.16-2
lib32-gamemode 1.8.2-1
lib32-gcc-libs 16.1.1+r595+g171d15ac6959-1
lib32-gdk-pixbuf2 2.44.7-1
lib32-giflib 6.1.3-1
lib32-glew 2.3.1-1
lib32-glib2 2.88.3-1
lib32-glibc 2.44+r3+g0b05bc142249-1
lib32-glu 9.0.3-2
lib32-gmp 6.3.0-2
lib32-gnutls 3.8.13-3
lib32-gtk3 1:3.24.52-1
lib32-harfbuzz 14.3.0-1
lib32-icu 78.3-1
lib32-json-c 0.19-1
lib32-keyutils 1.6.3-4
lib32-krb5 1.22.2-1
lib32-lcms2 2.17-1
lib32-libcups 2.4.19-1
lib32-libdatrie 0.2.14-1
lib32-libdisplay-info 0.3.0-1
lib32-libdrm 2.4.134-1
lib32-libelf 0.195-1
lib32-libepoxy 1.5.10-2
lib32-libffi 3.7.1-1
lib32-libgcrypt 1.12.2-1
lib32-libglvnd 1.7.0-1
lib32-libgpg-error 1.61-1
lib32-libice 1.1.1-2
lib32-libidn2 2.3.8-1
lib32-libjpeg-turbo 3.2.0-1
lib32-libldap 2.6.13-1
lib32-libnghttp2 1.70.0-1
lib32-libnghttp3 1.18.0-1
lib32-libngtcp2 1.25.0-1
lib32-libnm 1.58.0-1
lib32-libpciaccess 0.19-1
lib32-libpipewire 1:1.6.8-1
lib32-libpng 1.6.58-2
lib32-libpsl 0.21.5-1
lib32-librsvg 2:2.62.3-1
lib32-libsm 1.2.6-1
lib32-libssh2 1.11.1-5
lib32-libtasn1 4.21.0-1
lib32-libthai 0.1.30-1
lib32-libtiff 4.7.2-1
lib32-libunistring 1.4.2-1
lib32-libva 2.24.1-1
lib32-libx11 1.8.13-1
lib32-libxau 1.0.12-1
lib32-libxcb 1.17.0-1
lib32-libxcomposite 0.4.7-1
lib32-libxcrypt 4.5.2-1
lib32-libxcrypt-compat 4.5.2-1
lib32-libxcursor 1.2.3-1
lib32-libxdamage 1.1.7-1
lib32-libxdmcp 1.1.5-1
lib32-libxext 1.3.7-1
lib32-libxfixes 6.0.1-2
lib32-libxft 2.3.9-1
lib32-libxi 1.8.3-1
lib32-libxinerama 1.1.6-1
lib32-libxkbcommon 1.13.2-1
lib32-libxml2 2.15.3-1
lib32-libxmu 1.3.1-1
lib32-libxrandr 1.5.5-1
lib32-libxrender 0.9.11-2
lib32-libxshmfence 1.3.3-1
lib32-libxss 1.2.5-1
lib32-libxt 1.3.1-1
lib32-libxtst 1.2.5-2
lib32-libxxf86vm 1.1.5-2
lib32-llvm-libs 1:22.1.8-1
lib32-lm_sensors 1:3.6.2-2
lib32-mangohud 0.8.4-1
lib32-mesa 3:26.1.6-1
lib32-mpg123 1.33.5-1
lib32-ncurses 6.6-2
lib32-nettle 4.0-2
lib32-nspr 4.39-1
lib32-nss 3.126-1
lib32-nvidia-utils 610.57.04-1
lib32-ocl-icd 2.3.5-1
lib32-openal 1.25.2-1
lib32-opencl-nvidia 610.57.04-1
lib32-openssl 1:3.6.3-1
lib32-p11-kit 0.26.4-1
lib32-pango 1:1.58.2-1
lib32-pcre2 10.47-1
lib32-pipewire 1:1.6.8-1
lib32-pixman 0.46.4-1
lib32-spirv-tools 1:1.4.357.0-1
lib32-sqlite 3.53.4-1
lib32-systemd 261.2-1
lib32-util-linux 2.42.2-1
lib32-vulkan-icd-loader 1.4.357.0-1
lib32-vulkan-mesa-implicit-layers 3:26.1.6-1
lib32-vulkan-radeon 3:26.1.6-1
lib32-wayland 1.25.0-1
lib32-xcb-util-keysyms 0.4.1-2
lib32-xz 5.8.3-1
lib32-zlib-ng 2.3.3-2
lib32-zlib-ng-compat 2.3.3-2
lib32-zstd 1.5.7-2
libabw 0.1.4-1.1
libadwaita 1:1.9.3-1.1
libaio 0.3.113-4.1
libappindicator 12.10.1-1
libarchive 3.8.9-1.1
libasan 16.1.1+r595+g171d15ac6959-1
libass 0.17.5-1.1
libassuan 3.0.0-1.1
libasyncns 1:0.8+r3+g68cd5af-3.2
libatasmart 0.19-8.1
libatomic 16.1.1+r595+g171d15ac6959-1
libatomic_ops 7.8.2-2.1
libavc1394 0.5.4-7.1
libavif 1.4.2-1.1
libavtp 0.2.0-3.1
libb2 0.98.1-3.1
libblake3 1.8.4-1.1
libblockdev 3.5.0-2.1
libblockdev-crypto 3.5.0-2.1
libblockdev-fs 3.5.0-2.1
libblockdev-loop 3.5.0-2.1
libblockdev-mdraid 3.5.0-2.1
libblockdev-nvme 3.5.0-2.1
libblockdev-part 3.5.0-2.1
libblockdev-smart 3.5.0-2.1
libblockdev-swap 3.5.0-2.1
libbluray 1.4.1-1.1
libbpf 1.7.0-1.1
libbs2b 3.1.0-10.1
libbsd 0.12.2-2.1
libbytesize 2.12-3.1
libcaca 0.99.beta20-7.1
libcanberra 1:0.30+r2+gc0620e4-6.1
libcap 2.78-1.1
libcap-ng 0.9.3-1.1
libcbor 0.14.0-1.1
libcddb 1.3.2-9.1
libcdio 2.3.0-1.1
libcdr 0.1.9-1.1
libcloudproviders 0.4.0-1.1
libcmis 0.6.3-1.1
libcolord 1.4.8-1
libcups 2:2.4.19-1
libdaemon 0.14-6.3
libdatrie 0.2.14-1.1
libdbusmenu-glib 18.10.20180917-1
libdbusmenu-gtk3 18.10.20180917-1
libdc1394 2.2.7-2.1
libdca 0.0.7-3.1
libde265 1.1.1-1.1
libdecor 0.2.5-1.1
libdeflate 1.25-1.1
libdisplay-info 0.3.0-1.1
libdovi 3.4.0-1.1
libdrm 2.4.134-1.1
libdv 1.0.0-12.1
libdvbpsi 1:1.3.3-4
libdvdcss 1.6.0-1.1
libdvdnav 7.0.0-1.1
libdvdread 7.1.1-1.1
libe-book 0.1.4-1.1
libebml 1.4.5-3.1
libebur128 1.2.6-2.1
libedit 20260512_3.1-1.1
libei 1.6.0-1
libelf 0.195-1
libepoxy 1.5.10-3.1
libepubgen 0.1.1-6.1
libetonyek 0.1.13-2.1
libev 4.33-5.1
libevdev 1.13.6-1.1
libevent 2.1.13-2.1
libexttextcat 3.4.8-1.1
libfdk-aac 2.0.3-2.1
libffi 3.7.1-1.1
libfido2 1.17.0-1.1
libfontenc 1.1.9-1.1
libfreeaptx 0.2.2-1.1
libfreehand 0.1.3-1.1
libftdi 1.5-10.1
libfyaml 0.9.6-3.1
libgcc 16.1.1+r595+g171d15ac6959-1
libgcrypt 1.12.2-1.1
libgee 0.20.8-1.1
libgfortran 16.1.1+r595+g171d15ac6959-1
libgirepository 1.86.0-2.1
libgit2 1:1.9.6-1.1
libglvnd 1.7.0-3.1
libgme 0.6.5-1.1
libgomp 16.1.1+r595+g171d15ac6959-1
libgoom2 2k4-5
libgpg-error 1.61-1.1
libgsf 1.14.58-1.1
libgudev 238-3.1
libheif 1.23.1-1.1
libhwasan 16.1.1+r595+g171d15ac6959-1
libical 4.0.4-1
libice 1.1.2-1.1
libidn2 2.3.8-1.1
libiec61883 1.2.0-9.1
libimagequant 4.4.1-2
libimobiledevice 1.4.0-2.1
libimobiledevice-glue 1.3.2-1.1
libinih 62-2.1
libinput 1.31.3-1.1
libisl 0.28-1.1
libixion 0.20.0-7.1
libjpeg-turbo 3.2.0-2
libjxl 0.12.0-1.1
libkate 0.4.3-4.1
libkexiv2 26.04.3-1.1
libksba 1.8.0-1.1
liblangtag 0.6.8-1.1
liblc3 1.1.3-2.1
libldac 2.0.2.6-1.1
libldap 2.6.13-1
liblqr 0.4.3-1.1
liblrdf 0.6.1-5.1
liblsan 16.1.1+r595+g171d15ac6959-1
libltc 1.3.2-2.1
libmad 0.15.1b-10.1
libmakepkg-dropins 20-1
libmalcontent 0.14.0-4
libmanette 0.2.13-2.1
libmatroska 1.7.2-2.1
libmaxminddb 1.13.3-1.1
libmbim 1.34.0-1.1
libmd 1.2.0-1.1
libmicrodns 0.2.0-2.1
libmicrohttpd 1.0.9-1.1
libmm-glib 1.24.2-1.1
libmnl 1.0.5-2.1
libmodplug 0.8.9.0-7.1
libmpc 1.4.1-1.1
libmpcdec 1:0.1+r475-6
libmpeg2 0.5.1-11.1
libmspub 0.1.5-1.1
libmtp 1.1.23-1.1
libmwaw 0.3.23-1.1
libmysofa 1.3.4-1.1
libndp 1.9-1.2
libnetfilter_conntrack 1.1.1-1.1
libnewt 0.52.25-2.1
libnfnetlink 1.0.2-2.1
libnfs 6.0.2-5.2
libnftnl 1.3.1-1.1
libnghttp2 1.70.0-1.1
libnghttp3 1.18.0-1.1
libngtcp2 1.25.0-1.1
libnice 0.1.23-1.1
libnl 3.12.0-1.1
libnm 1.58.0-1
libnma 1.10.6-3.1
libnma-common 1.10.6-3.1
libnma-gtk4 1.10.6-3.1
libnotify 0.8.8-1.1
libnsl 2.0.1-2.1
libnumbertext 1.0.11-3.1
libnvme 1.16.2-1.1
libobjc 16.1.1+r595+g171d15ac6959-1
libodfgen 0.1.8-5.1
libogg 1.3.6-1.1
libopenmpt 0.8.7-1.1
libopenraw 0.3.7-2.1
liborcus 0.21.0-6.1
libp11-kit 0.26.4-1.1
libpagemaker 0.0.4-5.1
libpathrs 0.2.5-2.1
libpcap 1.10.6-1.1
libpciaccess 0.19-1.1
libpgm 5.3.128-4.1
libpipeline 1.5.8-1.1
libpipewire 1:1.6.8-1
libplacebo 7.360.1-6.1
libplist 2.7.0-3.1
libpng 1.6.58-2.1
libproxy 0.5.12-1.1
libpsl 0.21.5-2.1
libpulse 17.0+r98+gb096704c0-1.1
libqalculate 5.12.0-1.1
libqmi 1.38.0-1.1
libqrtr-glib 1.4.0-1.1
libquadmath 16.1.1+r595+g171d15ac6959-1
libqxp 0.0.3-1.1
libraqm 0.11.0-1.1
libraw1394 2.1.2-4.1
librevenge 0.0.6-1.1
librsvg 2:2.62.3-1.1
librsync 1:2.3.4-2.1
librustls 0.15.3-1.1
